timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,"UserId"
1622138830849,135,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5153,135,0,0,5153
1622138830912,132,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,0,0,5154
1622138830912,132,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5154,132,0,0,5154
1622138830985,130,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,2,2,null,0,0,0,5155
1622138830985,130,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5155,130,0,0,5155
1622138831045,133,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,2,2,null,0,0,0,5156
1622138831045,133,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,2,2,https://gorest.co.in/public-api/users/5156,133,0,0,5156
1622138831116,137,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,3,3,null,0,0,0,5157
1622138831116,137,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5157,137,0,0,5157
1622138831179,149,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,3,3,null,0,0,0,5158
1622138831179,149,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5158,149,0,0,5158
1622138831253,130,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,3,3,null,0,0,0,5160
1622138831253,130,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5160,129,0,0,5160
1622138831329,114,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,3,3,null,0,0,0,5161
1622138831329,114,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5161,114,0,0,5161
1622138831383,129,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,3,3,null,0,0,0,5162
1622138831383,129,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5162,129,0,0,5162
1622138831444,135,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,3,3,null,0,0,0,5163
1622138831444,135,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5163,134,0,0,5163
1622138831201,450,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,764,304,3,3,null,0,1,249,5159
1622138831202,450,Delete User Transaction-0,200,OK,Thread Group 1-3,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5159,450,0,249,5159
1622138831513,201,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,3,3,null,0,0,0,5164
1622138831513,201,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5164,201,0,0,5164
1622138831580,199,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,3,3,null,0,0,0,5165
1622138831580,199,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5165,199,0,0,5165
1622138831653,199,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,764,304,3,3,null,0,0,0,5166
1622138831653,199,Delete User Transaction-0,200,OK,Thread Group 1-3,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5166,199,0,0,5166
1622138831715,200,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,3,3,null,0,1,0,5167
1622138831715,200,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5167,200,0,0,5167
1622138831779,201,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,3,3,null,0,0,0,5168
1622138831779,201,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5168,201,0,0,5168
1622138831853,201,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,764,304,3,3,null,0,0,0,5169
1622138831853,201,Delete User Transaction-0,200,OK,Thread Group 1-3,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5169,201,0,0,5169
1622138831916,197,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,764,304,3,3,null,0,0,0,5170
1622138831916,197,Delete User Transaction-0,200,OK,Thread Group 1-1,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5170,197,0,0,5170
1622138831980,197,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,764,304,3,3,null,0,0,0,5171
1622138831980,197,Delete User Transaction-0,200,OK,Thread Group 1-2,text,true,,764,304,3,3,https://gorest.co.in/public-api/users/5171,197,0,0,5171
1622138832054,196,Delete User Transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,764,304,4,4,null,0,1,0,5172
